sample_id,sample_size,dragen_runtime,approximate_cost
ERR1019034,85,7760,10.35
ERR1019042,74,8570,11.43
ERR1019043,82,8669,11.56
ERR1019044,74,9962,13.29
ERR1019048,87,9464,12.62
ERR1019052,81,7969,10.63
ERR1019054,83,8697,11.60
ERR1019058,88,11025,14.70
ERR1019059,82,7484,9.98
ERR1019062,81,8844,11.80
ERR1019068,76,8301,11.07
ERR1019072,83,10700,14.27
ERR1019074,83,7678,10.24
ERR1019075,77,8205,10.94
ERR1019076,86,10795,14.40
ERR1019077,82,8578,11.44
ERR1019078,85,8633,11.51
ERR1019082,143,13569,18.10
ERR1025601,79,7705,10.28
ERR1025602,82,9112,12.15
ERR1025611,89,8664,11.56
