sample_id,sample_size,output_size,dragen_runtime,total_workflow_runtime
ERR1019034,85,56,7760,16308
ERR1019042,74,50,8570,20597
ERR1019043,82,54,8669,17406
ERR1019044,74,49,9962,18237
ERR1019048,87,44,9464,18066
ERR1019052,81,52,7969,17806
ERR1019054,83,56,8697,17616
ERR1019058,88,57,11025,20724
ERR1019059,82,53,7484,19142
ERR1019062,81,53,8844,20348
ERR1019068,76,51,8301,18992
ERR1019072,83,57,10700,18040
ERR1019074,83,54,7678,14850
ERR1019075,77,55,8205,14787
ERR1019076,86,61,10795,19902
ERR1019077,82,57,8578,17397
ERR1019078,85,58,8633,17579
ERR1019082,143,91,13569,39868
ERR1025601,79,54,7705,14829
ERR1025602,82,54,9112,27993
ERR1025611,89,56,8664,29203
